time,temperature_2m_max,temperature_2m_min,precipitation_sum,date,year,month
2021-08-15,25.4,14.1,0.0,2021-08-15,2021,8
2021-08-16,23.8,13.6,3.7,2021-08-16,2021,8
2021-08-17,18.1,12.8,1.5,2021-08-17,2021,8
2021-08-18,19.1,13.2,0.6,2021-08-18,2021,8
2021-08-19,20.6,15.6,0.3,2021-08-19,2021,8
2021-08-20,20.5,15.6,3.5,2021-08-20,2021,8
2021-08-21,21.8,12.2,0.2,2021-08-21,2021,8
2021-08-22,22.2,15.4,8.2,2021-08-22,2021,8
2021-08-23,20.6,14.7,5.8,2021-08-23,2021,8
2021-08-24,20.5,11.8,0.0,2021-08-24,2021,8
2021-08-25,22.2,8.1,3.5,2021-08-25,2021,8
2021-08-26,16.6,12.2,6.2,2021-08-26,2021,8
2021-08-27,16.1,11.7,7.7,2021-08-27,2021,8
2021-08-28,18.7,11.4,1.9,2021-08-28,2021,8
2021-08-29,19.0,13.6,19.9,2021-08-29,2021,8
2021-08-30,17.0,12.6,4.8,2021-08-30,2021,8
2021-08-31,19.7,11.6,0.8,2021-08-31,2021,8
2022-05-01,16.4,7.8,0.0,2022-05-01,2022,5
2022-05-02,18.7,6.2,0.0,2022-05-02,2022,5
2022-05-03,18.5,6.6,0.0,2022-05-03,2022,5
2022-05-04,19.1,7.0,0.8,2022-05-04,2022,5
2022-05-05,18.3,9.9,14.2,2022-05-05,2022,5
2022-05-06,19.3,6.0,0.0,2022-05-06,2022,5
2022-05-07,22.0,8.6,0.7,2022-05-07,2022,5
2022-05-08,19.2,9.9,0.2,2022-05-08,2022,5
2022-05-09,21.1,6.2,0.0,2022-05-09,2022,5
2022-05-10,26.0,9.7,0.0,2022-05-10,2022,5
2022-05-11,27.4,14.9,4.6,2022-05-11,2022,5
2022-05-12,19.2,13.2,0.9,2022-05-12,2022,5
2022-05-13,18.5,9.4,0.1,2022-05-13,2022,5
2022-05-14,19.8,11.0,0.0,2022-05-14,2022,5
2022-05-15,20.7,6.7,0.0,2022-05-15,2022,5
2022-05-16,24.5,9.6,0.0,2022-05-16,2022,5
2022-05-17,21.1,13.9,11.9,2022-05-17,2022,5
2022-05-18,24.2,11.6,0.0,2022-05-18,2022,5
2022-05-19,28.5,13.5,0.0,2022-05-19,2022,5
2022-05-20,24.4,17.8,7.5,2022-05-20,2022,5
2022-05-21,18.2,12.4,1.9,2022-05-21,2022,5
2022-05-22,18.8,9.4,0.3,2022-05-22,2022,5
2022-05-23,22.0,9.1,0.0,2022-05-23,2022,5
2022-05-24,21.9,13.5,0.3,2022-05-24,2022,5
2022-05-25,19.8,9.4,0.1,2022-05-25,2022,5
2022-05-26,20.4,13.2,0.1,2022-05-26,2022,5
2022-05-27,17.8,10.9,3.7,2022-05-27,2022,5
2022-05-28,15.1,8.6,1.2,2022-05-28,2022,5
2022-05-29,14.8,8.5,1.4,2022-05-29,2022,5
2022-05-30,15.7,7.7,0.2,2022-05-30,2022,5
2022-05-31,18.2,7.8,0.0,2022-05-31,2022,5
2022-06-01,19.0,8.6,0.5,2022-06-01,2022,6
2022-06-02,18.5,9.2,1.2,2022-06-02,2022,6
2022-06-03,24.0,9.1,0.0,2022-06-03,2022,6
2022-06-04,22.5,12.6,0.0,2022-06-04,2022,6
2022-06-05,27.3,9.0,0.3,2022-06-05,2022,6
2022-06-06,25.1,15.5,1.1,2022-06-06,2022,6
2022-06-07,23.5,12.9,0.1,2022-06-07,2022,6
