date,pm10,pm25,no2,no,nox,o3,co,toluene,carbon_monoxide,sulfur_dioxide
2023-05-23,22.0,13.0,26.0,10.0,41.0,60.0,,,0.3,
2023-05-24,15.0,10.0,27.0,15.0,50.0,53.0,,,0.3,
2023-05-25,17.0,12.0,20.0,8.0,32.0,65.0,,,0.2,
2023-05-26,16.0,10.0,12.0,3.0,16.0,74.0,,,0.2,
2023-05-27,11.0,7.0,14.0,3.0,17.0,73.0,,,0.2,
2023-05-28,14.0,8.0,13.0,2.0,16.0,86.0,,,0.2,
2023-05-29,10.0,7.0,7.0,2.0,8.0,83.0,,,0.2,
2023-05-30,11.0,6.0,12.0,3.0,16.0,79.0,,,0.2,
2023-05-31,13.0,6.0,22.0,6.0,31.0,68.0,,,0.2,
2023-06-01,16.0,10.0,18.0,8.0,29.0,69.0,,,0.2,
2023-06-02,14.0,7.0,9.0,2.0,12.0,68.0,,,0.2,
2023-06-03,10.0,5.0,11.0,4.0,17.0,68.0,,,0.2,
2023-06-04,10.0,5.0,11.0,2.0,14.0,74.0,,,0.2,
2023-06-05,13.0,6.0,18.0,6.0,26.0,81.0,,,0.2,
2023-06-06,18.0,10.0,27.0,9.0,40.0,78.0,,,0.3,
2023-06-07,15.0,8.0,11.0,2.0,13.0,108.0,,,0.2,
2023-06-08,17.0,10.0,10.0,2.0,11.0,112.0,,,0.2,
2023-06-09,17.0,10.0,8.0,2.0,10.0,98.0,,,0.2,
2023-06-10,17.0,11.0,8.0,2.0,8.0,85.0,,,0.2,
2023-06-11,18.0,10.0,10.0,2.0,13.0,86.0,,,0.2,
2023-06-12,19.0,10.0,17.0,5.0,25.0,87.0,,,0.2,
2023-06-13,19.0,9.0,12.0,2.0,14.0,74.0,,,0.2,
2023-06-14,17.0,10.0,11.0,3.0,15.0,72.0,,,0.2,
2023-06-15,16.0,10.0,15.0,3.0,20.0,71.0,,,0.2,
2023-06-16,15.0,12.0,20.0,5.0,27.0,63.0,,,0.2,
2023-06-17,19.0,15.0,16.0,2.0,18.0,68.0,,,0.2,
2023-06-18,21.0,17.0,20.0,7.0,29.0,72.0,,,0.3,
2023-06-19,27.0,20.0,37.0,12.0,55.0,66.0,,,0.3,
2023-06-20,32.0,24.0,28.0,6.0,38.0,67.0,,,0.3,
2023-06-21,22.0,17.0,26.0,10.0,41.0,69.0,,,0.3,
2023-06-22,15.0,11.0,23.0,7.0,33.0,89.0,,,0.3,
2023-06-23,16.0,12.0,16.0,3.0,20.0,57.0,,,0.2,
2023-06-24,16.0,11.0,16.0,4.0,21.0,60.0,,,0.2,
2023-06-25,17.0,12.0,21.0,4.0,27.0,65.0,,,0.3,
2023-06-26,20.0,13.0,26.0,9.0,39.0,63.0,,,0.3,
2023-06-27,11.0,7.0,22.0,12.0,40.0,54.0,,,0.2,
2023-06-28,,,18.0,6.0,27.0,57.0,,,0.2,
2023-06-29,,,31.0,12.0,49.0,57.0,,,0.3,
2023-06-30,,,21.0,6.0,29.0,51.0,,,0.3,
2023-07-01,,,15.0,4.0,22.0,59.0,,,0.2,
2023-07-02,,,13.0,4.0,19.0,65.0,,,0.2,
2023-07-03,,,23.0,10.0,38.0,67.0,,,0.3,
2023-07-04,,,23.0,10.0,37.0,59.0,,,0.2,
2023-07-05,23.0,11.0,24.0,11.0,40.0,56.0,,,0.3,
2023-07-06,14.0,8.0,27.0,11.0,44.0,58.0,,,0.3,
2023-07-07,18.0,9.0,32.0,11.0,48.0,68.0,,,0.3,
2023-07-08,15.0,9.0,13.0,2.0,15.0,101.0,,,0.2,
2023-07-09,16.0,9.0,13.0,2.0,15.0,99.0,,,0.2,
2023-07-10,19.0,11.0,26.0,9.0,41.0,74.0,,,0.3,
2023-07-11,16.0,9.0,29.0,10.0,44.0,75.0,,,0.3,
2023-07-12,17.0,9.0,25.0,10.0,39.0,74.0,,,0.3,
2023-07-13,14.0,8.0,26.0,11.0,42.0,65.0,,,0.3,
2023-07-14,16.0,8.0,27.0,9.0,41.0,70.0,,,0.3,
2023-07-15,19.0,9.0,19.0,4.0,25.0,82.0,,,0.3,
2023-07-16,14.0,8.0,17.0,5.0,24.0,61.0,,,0.2,
2023-07-17,17.0,8.0,23.0,10.0,37.0,55.0,,,0.3,
2023-07-18,15.0,7.0,25.0,10.0,40.0,58.0,,,0.3,
2023-07-19,18.0,8.0,28.0,7.0,38.0,62.0,,,0.2,
2023-07-20,12.0,7.0,16.0,7.0,26.0,55.0,,,0.2,
2023-07-21,16.0,8.0,28.0,13.0,49.0,42.0,,,0.3,
2023-07-22,15.0,9.0,17.0,5.0,25.0,55.0,,,0.2,
2023-07-23,16.0,9.0,14.0,3.0,19.0,63.0,,,0.2,
2023-07-24,13.0,6.0,17.0,5.0,24.0,51.0,,,0.2,
2023-07-25,13.0,8.0,15.0,7.0,25.0,58.0,,,0.2,
2023-07-26,11.0,6.0,19.0,12.0,37.0,51.0,,,0.2,
2023-07-27,13.0,9.0,20.0,9.0,33.0,45.0,,,0.3,
2023-07-28,11.0,8.0,21.0,12.0,40.0,24.0,,,0.3,
2023-07-29,14.0,9.0,18.0,6.0,28.0,33.0,,,0.3,
2023-07-30,13.0,8.0,14.0,4.0,21.0,52.0,,,0.2,
2023-07-31,12.0,7.0,16.0,6.0,26.0,44.0,,,0.2,
2023-08-01,11.0,7.0,18.0,9.0,32.0,47.0,,,0.3,
2023-08-02,12.0,7.0,15.0,8.0,27.0,51.0,,,0.3,
2023-08-03,10.0,6.0,13.0,6.0,22.0,48.0,,,0.2,
2023-08-04,15.0,9.0,26.0,12.0,43.0,48.0,,,0.3,
2023-08-05,15.0,9.0,11.0,2.0,13.0,57.0,,,0.2,
2023-08-06,15.0,11.0,12.0,2.0,15.0,54.0,,,0.2,
2023-08-07,14.0,8.0,18.0,10.0,33.0,55.0,,,0.2,
2023-08-08,11.0,7.0,18.0,7.0,29.0,55.0,,,0.2,
2023-08-09,12.0,7.0,22.0,12.0,40.0,44.0,,,0.3,
2023-08-10,16.0,9.0,29.0,12.0,47.0,39.0,,,0.3,
2023-08-11,23.0,12.0,33.0,15.0,55.0,35.0,,,0.4,
2023-08-12,22.0,12.0,21.0,5.0,28.0,54.0,,,0.3,
2023-08-13,14.0,8.0,16.0,4.0,22.0,62.0,,,0.3,
2023-08-14,21.0,10.0,31.0,11.0,48.0,51.0,,,0.3,
2023-08-15,17.0,10.0,24.0,7.0,34.0,67.0,,,0.3,
2023-08-16,15.0,10.0,11.0,2.0,13.0,73.0,,,0.2,
